DEP	AR	CT	COM	LEG	JO	EFF	DTR	MOD	C-LOFF	C-LANC	NBCOM	RANGCOM	COMECH	POPECH	SUECH	DEPANC	ARRANC	CTANC	TNCCOFF	NCCOFF	TNCCANC	NCCANC
49			213	A30-03-2012	09-06-2012	01-01-2013	01-01-2013	33					49018						0	Montpollin		
49	1	39	214	A20-06-1977		01-07-1977	01-07-1977	36					49166						0	Montreuil-Juigné		
49	1	39	214	A24-01-1973	20-02-1973	01-02-1973	01-02-1973	11											0	Montreuil-Juigné	0	Montreuil-Belfroy
49	1	39	214	A24-01-1973	20-02-1973	01-02-1973	01-02-1973	34			1	1	49166						0	Montreuil-Juigné		
49	3	20	215	A09-11-1967	05-01-1968	01-01-1968	01-01-1968	32			1	1	49203						0	Montreuil-Bellay		
49	1	23	223	D03-08-1953	12-08-1953	13-08-1953	13-08-1953	10											0	Mûrs-Erigné	0	Mûrs
49			245	A30-03-2012	09-06-2012	01-01-2013	01-01-2013	33					49018						0	Pontigné		
49	1	23	246	D10-11-2006	11-11-2006	12-11-2006	12-11-2006	61					49353	0	1				4	Ponts-de-Cé		
49	1	23	246	D10-11-2006	11-11-2006	12-11-2006	12-11-2006	63					49353	0	1				4	Ponts-de-Cé		
49			255	A11-05-1964	18-07-1964	01-06-1964	01-06-1964	31					49050						0	Quincé		
49	3	28	261	D26-03-1993	28-03-1993	01-04-1993	01-04-1993	10											4	Rosiers-sur-Loire	4	Rosiers
49			275	A24-11-1972	20-12-1972	01-01-1973	01-01-1973	31					49078						0	Saint-Ellier		
49	4	30	277	A15-12-2011		01-01-2012	01-01-2012	61					49331	0	27				0	Sainte-Gemmes-d'Andigné		
49	1	23	278	D14-12-2005	21-12-2005	22-12-2005	22-12-2005	63					49007	0	0				0	Sainte-Gemmes-sur-Loire		
49	2	11	281	A28-12-1972	01-02-1973	01-01-1973	01-01-1973	11											0	Saint-Georges-des-Gardes	0	Saint-Georges-du-Puy-de-la-Garde
49	2	11	281	A28-12-1972	01-02-1973	01-01-1973	01-01-1973	34			1	1	49146						0	Saint-Georges-des-Gardes		
49	1	26	284	A28-02-2000		01-03-2000	01-03-2000	61					49068	0	12				0	Saint-Germain-des-Prés		
49	1	26	284	A28-02-2000		01-03-2000	01-03-2000	63					49068	0	12				0	Saint-Germain-des-Prés		
49			286	A21-12-1973	03-02-1974	01-01-1974	01-01-1974	33					49373						0	Saint-Hilaire-du-Bois		
49			287	A30-01-1973	15-03-1973	01-02-1973	01-02-1973	33					49328						0	Saint-Hilaire-Saint-Florent		
49			293	A30-01-1973	15-03-1973	01-02-1973	01-02-1973	33					49328						0	Saint-Lambert-des-Levées		
49			303	A30-03-2012	09-06-2012	01-01-2013	01-01-2013	33					49018						0	Saint-Martin-d'Arcé		
49	1	23	307	D26-12-1974	31-12-1974	01-01-1975	01-01-1975	10											0	Saint-Mathurin-sur-Loire	0	Saint-Mathurin
49	1	23	308	A28-12-2006		01-01-2007	01-01-2007	61					49338	0	4				0	Saint-Melaine-sur-Aubance		
49	1	23	308	A28-12-2006		01-01-2007	01-01-2007	63					49338	0	4				0	Saint-Melaine-sur-Aubance		
49	1	36	326	A28-02-2000		01-03-2000	01-03-2000	61					49004	0	34				0	Sarrigné		
49	1	36	326	A28-02-2000		01-03-2000	01-03-2000	63					49004	0	34				0	Sarrigné		
49	3	99	328	A17-02-2003		01-03-2003	01-03-2003	61					49123	0	3				0	Saumur		
49	3	99	328	A17-02-2003		01-03-2003	01-03-2003	63					49123	0	3				0	Saumur		
49	3	99	328	A30-01-1973	15-03-1973	01-02-1973	01-02-1973	34			4	1	49016						0	Saumur		
49	3	99	328	A30-01-1973	15-03-1973	01-02-1973	01-02-1973	34			4	2	49118						0	Saumur		
49	3	99	328	A30-01-1973	15-03-1973	01-02-1973	01-02-1973	34			4	3	49287						0	Saumur		
49	3	99	328	A30-01-1973	15-03-1973	01-02-1973	01-02-1973	34			4	4	49293						0	Saumur		
49	4	30	331	A15-12-2011		01-01-2012	01-01-2012	63					49277	0	27				0	Segré		
49	4	30	331	A08-12-2010		01-01-2011	01-01-2011	61					49077	0	2				0	Segré		
49	4	30	331	A08-12-2010		01-01-2011	01-01-2011	63					49077	0	13				0	Segré		
49	1	23	338	A28-12-2006		01-01-2007	01-01-2007	61					49308	0	4				0	Soulaines-sur-Aubance		
49	1	23	338	A28-12-2006		01-01-2007	01-01-2007	63					49308	0	4				0	Soulaines-sur-Aubance		
49			340	A31-07-1964	28-10-1964	01-10-1964	01-10-1964	31					49125						0	Soulanger		
49	2	19	349	D08-08-1955	14-08-1955	15-08-1955	15-08-1955	10											0	Tillières	0	Tilliers
49	1	36	353	D10-11-2006	11-11-2006	12-11-2006	12-11-2006	61					49246	0	1				0	Trélazé		
49	1	36	353	D10-11-2006	11-11-2006	12-11-2006	12-11-2006	63					49246	0	1				0	Trélazé		
49			357	A25-06-1973	20-07-1973	01-01-1974	01-01-1974	33					49094						0	Trèves-Cunault		
49	3	20	364	D15-07-1953	18-07-1953	19-07-1953	19-07-1953	10											0	Vaudelnay	0	Vaudelenay
49	3	17	369	D07-07-2006	08-07-2006	09-07-2006	09-07-2006	10											0	Vernoil-le-Fourrier	0	Vernoil
49			372	A30-03-2012	09-06-2012	01-01-2013	01-01-2013	33					49018						2	Vieil-Baugé		
49	3	34	373	A21-12-1973	03-02-1974	01-01-1974	01-01-1974	34			2	1	49286						0	Vihiers		
49	3	34	373	A21-12-1973	03-02-1974	01-01-1974	01-01-1974	34			2	2	49379						0	Vihiers		
49			379	A21-12-1973	03-02-1974	01-01-1974	01-01-1974	33					49373						2	Voide		
49			380	A19-11-2012	15-12-2012	01-01-2013	01-01-2013	33					49101						0	Vaulandry		
49	3	04	380	D27-04-1956	04-05-1956	05-05-1956	05-05-1956	10											0	Vaulandry	0	Volandry
50	3	36	003	D03-06-1965	11-06-1965	12-06-1965	12-06-1965	10											1	Agon-Coutainville	1	Agon
50	3	06	008	D29-04-1947	30-04-1947	01-05-1947	01-05-1947	10											1	Anctoville-sur-Boscq	1	Anctoville
50			011	A30-03-1973	02-05-1973	01-04-1973	01-04-1973	33					50142						1	Angoville-en-Saire		
50			011	D10-01-1956	14-01-1956	15-01-1956	15-01-1956	10											1	Angoville-en-Saire	0	Angoville
50			017	A19-12-1972	28-01-1973	01-01-1973	01-01-1973	33					50410						1	Ardevon		
50	2	03	031	A10-09-1964	03-01-1965	01-01-1965	01-01-1965	11											0	Barneville-Carteret	0	Barneville-sur-Mer
50	2	03	031	A10-09-1964	03-01-1965	01-01-1965	01-01-1965	32			1	1	50104						0	Barneville-Carteret		
50	2	03	031	D10-05-1962	15-05-1962	16-05-1962	16-05-1962	10											0	Barneville-sur-Mer	0	Barneville
50	2	03	033	D16-11-1998	18-11-1998	19-11-1998	19-11-1998	10											0	Baubigny	0	Beaubigny
50	3	16	035	A18-12-1979	27-01-1980	01-01-1980	01-01-1980	21					50528						0	Baudreville		
50	3	16	035	A27-12-1972	28-01-1973	01-01-1973	01-01-1973	33					50528						0	Baudreville		
50	2	04	041	D13-12-1991	19-12-1991	20-12-1991	20-12-1991	10											0	Beaumont-Hague	0	Beaumont
50	1	29	042	A30-12-1988	11-02-1989	01-01-1989	01-01-1989	21					50410						0	Beauvoir		
50	1	29	042	A19-12-1972	28-01-1973	01-01-1973	01-01-1973	33					50410						0	Beauvoir		
50			047	A20-10-1972	16-11-1972	01-01-1973	01-01-1973	33					50188						3	Beslière		
50			053	A15-03-1973	07-04-1973	15-03-1973	15-03-1973	33					50256						4	Biards		
50	3	16	063	A30-12-1982	05-02-1983	01-01-1983	01-01-1983	21					50528						0	Bolleville		
50	3	16	063	A27-12-1972	28-01-1973	01-01-1973	01-01-1973	33					50528						0	Bolleville		
50			065	A19-12-1972	28-01-1973	01-01-1973	01-01-1973	33					50410						0	Boucey		
50	1	97	066	A27-12-1999	07-03-2000	01-01-2000	01-01-2000	23					50102						0	Jullouville		
50	1	97	066	A20-12-1977	25-01-1978	01-01-1978	01-01-1978	23					50532						0	Jullouville		
50	1	97	066	A25-10-1972	08-12-1972	01-01-1973	01-01-1973	11											0	Jullouville	0	Bouillon
50	1	97	066	A25-10-1972	08-12-1972	01-01-1973	01-01-1973	34			3	1	50102						0	Jullouville		
50	1	97	066	A25-10-1972	08-12-1972	01-01-1973	01-01-1973	34			3	2	50526						0	Jullouville		
50	1	97	066	A25-10-1972	08-12-1972	01-01-1973	01-01-1973	34			3	3	50532						0	Jullouville		
50			067	A10-10-1972	08-12-1972	01-01-1973	01-01-1973	33					50531						3	Boulouze		
